Agent ID,Agent Name,Branch ID,Agent Type,Seniority Years,Sales Region,Active Flag
122,Michał Nowak,125,Multiagent,6,Północ,No
123,Paweł Kowalczyk,213,Agent wyłączny,0,Zachód,Yes
124,Adam Wiśniewski,26,Multiagent,5,Północ,Yes
125,Marta Wójcik,408,Agent wyłączny,2,Północ,Yes
126,Ewa Woźniak,163,Agent wyłączny,12,Południe,No
127,Tomasz Szymański,111,Multiagent,20,Północ,Yes
128,Marcin Woźniak,93,Agent wyłączny,6,Wschód,Yes
129,Piotr Kowalski,417,Agent wyłączny,11,Zachód,Yes
130,Piotr Lewandowski,339,Multiagent,0,Południe,Yes
131,Monika Wiśniewski,274,Agent wyłączny,3,Centrum,Yes
132,Marcin Szymański,93,Broker,12,Zachód,Yes
133,Ewa Kowalczyk,330,Agent wyłączny,12,Centrum,Yes
134,Monika Wiśniewski,139,Agent wyłączny,4,Zachód,Yes
135,Marta Woźniak,100,Direct Sales,12,Zachód,Yes
136,Ewa Zieliński,409,Agent wyłączny,12,Centrum,Yes
137,Marcin Kowalczyk,62,Multiagent,19,Wschód,Yes
138,Piotr Zieliński,258,Agent wyłączny,20,Wschód,Yes
139,Piotr Kamiński,131,Broker,20,Północ,Yes
140,Katarzyna Szymański,104,Agent wyłączny,16,Wschód,Yes
141,Piotr Szymański,229,Broker,19,Północ,Yes
142,Tomasz Kamiński,99,Partner,17,Centrum,Yes
143,Paweł Kamiński,132,Broker,6,Południe,Yes
144,Marcin Zieliński,258,Partner,9,Północ,Yes
145,Jakub Kamiński,206,Broker,3,Południe,Yes
146,Magdalena Kowalski,398,Agent wyłączny,3,Centrum,Yes
147,Adam Nowak,132,Agent wyłączny,11,Wschód,Yes
148,Anna Nowak,40,Multiagent,10,Wschód,Yes
149,Paweł Szymański,380,Broker,15,Zachód,Yes
150,Paweł Woźniak,70,Direct Sales,5,Zachód,Yes
151,Adam Nowak,216,Multiagent,10,Północ,Yes
152,Magdalena Wójcik,161,Agent wyłączny,11,Zachód,Yes
153,Paweł Kamiński,201,Broker,4,Północ,No
154,Agnieszka Zieliński,51,Partner,11,Centrum,Yes
155,Anna Zieliński,306,Direct Sales,18,Północ,Yes
156,Michał Lewandowski,123,Partner,1,Północ,Yes
157,Anna Szymański,131,Multiagent,2,Północ,Yes
158,Agnieszka Kowalski,188,Broker,17,Wschód,Yes
159,Agnieszka Kowalski,106,Multiagent,4,Wschód,Yes
160,Piotr Wójcik,116,Partner,5,Południe,Yes
161,Katarzyna Lewandowski,53,Agent wyłączny,5,Północ,Yes
162,Adam Lewandowski,75,Partner,5,Centrum,Yes
163,Marta Woźniak,272,Agent wyłączny,12,Wschód,Yes
164,Anna Kamiński,416,Multiagent,8,Centrum,Yes
165,Jakub Kowalczyk,287,Agent wyłączny,14,Zachód,Yes
166,Adam Wójcik,14,Multiagent,7,Północ,Yes
167,Jakub Wiśniewski,296,Multiagent,6,Północ,No
168,Anna Lewandowski,64,Agent wyłączny,11,Zachód,Yes
169,Monika Woźniak,316,Broker,10,Zachód,Yes
170,Magdalena Woźniak,55,Direct Sales,4,Wschód,Yes
171,Paweł Kowalski,350,Agent wyłączny,5,Centrum,Yes
172,Agnieszka Lewandowski,339,Multiagent,12,Południe,Yes
173,Michał Kowalczyk,363,Broker,16,Północ,Yes
174,Monika Lewandowski,372,Broker,5,Południe,Yes
175,Anna Zieliński,391,Multiagent,4,Południe,Yes
176,Krzysztof Lewandowski,419,Direct Sales,20,Północ,Yes
177,Monika Nowak,356,Partner,19,Zachód,Yes
178,Monika Woźniak,262,Broker,2,Północ,Yes
179,Marta Zieliński,20,Multiagent,18,Centrum,Yes
180,Ewa Wiśniewski,417,Multiagent,3,Centrum,Yes
181,Michał Zieliński,261,Agent wyłączny,13,Zachód,Yes
182,Piotr Szymański,330,Multiagent,8,Centrum,Yes
183,Ewa Nowak,29,Partner,9,Zachód,Yes
184,Marta Woźniak,297,Partner,18,Centrum,Yes
185,Joanna Woźniak,413,Multiagent,9,Zachód,Yes
186,Krzysztof Kowalski,84,Agent wyłączny,11,Północ,Yes
187,Agnieszka Kowalczyk,65,Multiagent,19,Zachód,Yes
188,Magdalena Wójcik,268,Multiagent,16,Centrum,Yes
189,Marcin Woźniak,383,Broker,9,Centrum,Yes
190,Marcin Lewandowski,135,Partner,11,Zachód,Yes
191,Jakub Woźniak,299,Direct Sales,10,Południe,Yes
192,Tomasz Wiśniewski,404,Multiagent,16,Wschód,Yes
193,Marta Kamiński,329,Broker,15,Centrum,Yes
194,Michał Kowalski,187,Agent wyłączny,15,Wschód,Yes
195,Marcin Kowalski,34,Broker,20,Zachód,Yes
196,Monika Kamiński,361,Partner,8,Północ,Yes
197,Agnieszka Szymański,33,Multiagent,4,Centrum,No
198,Ewa Wójcik,219,Agent wyłączny,18,Północ,Yes
199,Michał Wiśniewski,211,Direct Sales,13,Południe,Yes
200,Agnieszka Kowalski,29,Broker,19,Północ,Yes
201,Piotr Kowalski,85,Agent wyłączny,9,Zachód,Yes
202,Marcin Lewandowski,388,Multiagent,19,Północ,Yes
203,Ewa Kamiński,48,Partner,10,Centrum,Yes
204,Jakub Lewandowski,9,Partner,0,Zachód,Yes
205,Marcin Woźniak,219,Broker,1,Południe,Yes
206,Katarzyna Nowak,226,Agent wyłączny,1,Północ,Yes
207,Paweł Woźniak,305,Agent wyłączny,7,Centrum,Yes
208,Krzysztof Lewandowski,133,Multiagent,20,Północ,Yes
209,Krzysztof Wiśniewski,100,Agent wyłączny,19,Północ,Yes
210,Monika Szymański,193,Multiagent,19,Północ,Yes
211,Agnieszka Wiśniewski,144,Broker,3,Wschód,Yes
212,Monika Kowalczyk,27,Multiagent,17,Zachód,Yes
213,Adam Wójcik,253,Multiagent,8,Centrum,Yes
214,Adam Szymański,395,Multiagent,2,Zachód,Yes
215,Michał Kamiński,107,Multiagent,16,Centrum,Yes
216,Marta Szymański,103,Agent wyłączny,18,Zachód,Yes
217,Jakub Lewandowski,154,Broker,7,Północ,Yes
218,Piotr Kamiński,15,Multiagent,13,Zachód,Yes
219,Magdalena Zieliński,361,Agent wyłączny,9,Wschód,Yes
220,Katarzyna Wiśniewski,135,Multiagent,11,Zachód,Yes
221,Joanna Szymański,407,Direct Sales,5,Centrum,Yes
222,Krzysztof Woźniak,377,Partner,12,Północ,Yes
223,Tomasz Wiśniewski,322,Multiagent,16,Północ,Yes
224,Adam Wiśniewski,38,Agent wyłączny,1,Wschód,Yes
225,Jakub Woźniak,409,Agent wyłączny,6,Północ,Yes
226,Agnieszka Zieliński,244,Multiagent,5,Zachód,Yes
227,Krzysztof Woźniak,207,Agent wyłączny,7,Południe,Yes
228,Adam Nowak,345,Agent wyłączny,7,Północ,No
229,Piotr Lewandowski,416,Broker,15,Północ,Yes
230,Ewa Wiśniewski,319,Agent wyłączny,5,Północ,Yes
231,Jakub Kowalski,352,Direct Sales,5,Wschód,Yes
232,Katarzyna Zieliński,83,Agent wyłączny,19,Wschód,Yes
233,Adam Kowalski,386,Direct Sales,16,Południe,Yes
234,Katarzyna Kamiński,207,Agent wyłączny,16,Zachód,Yes
235,Jakub Kamiński,365,Multiagent,7,Południe,No
236,Piotr Zieliński,14,Broker,8,Północ,No
237,Marcin Kowalczyk,367,Multiagent,16,Południe,Yes
238,Jakub Szymański,119,Multiagent,1,Centrum,Yes
239,Marcin Zieliński,56,Direct Sales,19,Zachód,Yes
240,Marta Zieliński,9,Multiagent,9,Zachód,Yes
241,Monika Kowalczyk,54,Multiagent,15,Zachód,Yes
242,Adam Lewandowski,204,Direct Sales,9,Północ,Yes
243,Marcin Szymański,168,Agent wyłączny,20,Południe,Yes
244,Adam Kowalski,122,Agent wyłączny,20,Zachód,Yes
245,Paweł Wójcik,53,Direct Sales,20,Wschód,Yes
246,Joanna Kowalczyk,245,Agent wyłączny,16,Centrum,Yes
247,Marta Zieliński,269,Multiagent,5,Zachód,Yes
248,Michał Kowalczyk,136,Multiagent,9,Centrum,Yes
249,Agnieszka Kowalczyk,62,Agent wyłączny,9,Wschód,Yes
250,Katarzyna Lewandowski,222,Multiagent,0,Centrum,Yes
251,Paweł Szymański,61,Agent wyłączny,20,Południe,Yes
252,Jakub Kowalski,8,Direct Sales,16,Wschód,Yes
253,Joanna Lewandowski,135,Multiagent,5,Centrum,Yes
254,Michał Wiśniewski,5,Multiagent,2,Północ,Yes
255,Magdalena Wiśniewski,77,Agent wyłączny,12,Wschód,Yes
256,Tomasz Woźniak,197,Multiagent,19,Centrum,Yes
257,Piotr Kowalski,335,Agent wyłączny,16,Północ,Yes
258,Monika Wiśniewski,181,Direct Sales,11,Centrum,Yes
259,Marta Zieliński,140,Agent wyłączny,16,Południe,Yes
260,Paweł Wiśniewski,312,Agent wyłączny,5,Północ,Yes
261,Michał Lewandowski,211,Agent wyłączny,10,Południe,Yes
262,Paweł Kamiński,306,Broker,6,Wschód,Yes
263,Tomasz Kamiński,345,Agent wyłączny,11,Północ,Yes
264,Joanna Kowalczyk,376,Agent wyłączny,9,Północ,Yes
265,Joanna Woźniak,381,Partner,16,Północ,Yes
266,Tomasz Nowak,148,Broker,16,Centrum,Yes
267,Ewa Wiśniewski,9,Broker,17,Wschód,Yes
268,Piotr Woźniak,34,Direct Sales,7,Centrum,No
269,Marta Kamiński,374,Agent wyłączny,10,Centrum,Yes
270,Tomasz Woźniak,194,Partner,14,Centrum,Yes
271,Katarzyna Kamiński,353,Agent wyłączny,10,Zachód,Yes
272,Marta Wiśniewski,120,Multiagent,15,Północ,Yes
273,Joanna Lewandowski,332,Agent wyłączny,20,Wschód,Yes
274,Adam Wójcik,75,Agent wyłączny,20,Północ,Yes
275,Monika Szymański,339,Agent wyłączny,5,Południe,Yes
276,Paweł Lewandowski,189,Agent wyłączny,2,Wschód,Yes
277,Adam Kamiński,347,Broker,16,Północ,Yes
278,Agnieszka Szymański,138,Multiagent,0,Północ,Yes
279,Michał Zieliński,308,Agent wyłączny,12,Południe,Yes
280,Paweł Wójcik,15,Agent wyłączny,1,Wschód,Yes
281,Ewa Kowalski,168,Multiagent,5,Centrum,Yes
282,Jakub Szymański,325,Broker,14,Wschód,Yes
283,Katarzyna Nowak,132,Multiagent,19,Centrum,Yes
284,Adam Wójcik,140,Agent wyłączny,16,Wschód,Yes
285,Michał Kowalczyk,17,Direct Sales,13,Centrum,Yes
286,Michał Kowalczyk,158,Direct Sales,18,Południe,Yes
287,Joanna Kamiński,161,Direct Sales,5,Południe,Yes
288,Marcin Kowalczyk,165,Broker,9,Zachód,Yes
289,Katarzyna Lewandowski,228,Direct Sales,1,Zachód,Yes
290,Joanna Wiśniewski,332,Agent wyłączny,13,Wschód,No
291,Monika Szymański,246,Partner,19,Centrum,Yes
292,Magdalena Woźniak,236,Broker,4,Wschód,Yes
293,Piotr Szymański,53,Partner,12,Północ,Yes
294,Agnieszka Wiśniewski,112,Broker,8,Centrum,Yes
295,Marta Nowak,22,Agent wyłączny,19,Zachód,Yes
296,Ewa Kowalski,12,Multiagent,15,Południe,Yes
297,Joanna Zieliński,168,Agent wyłączny,5,Południe,Yes
298,Michał Lewandowski,311,Broker,2,Centrum,Yes
299,Tomasz Wójcik,222,Agent wyłączny,16,Centrum,Yes
300,Magdalena Lewandowski,362,Multiagent,3,Zachód,Yes
301,Monika Kowalski,61,Multiagent,18,Północ,Yes
302,Katarzyna Nowak,339,Broker,1,Północ,Yes
303,Tomasz Kowalczyk,221,Multiagent,3,Północ,Yes
304,Anna Szymański,362,Multiagent,18,Wschód,Yes
305,Joanna Szymański,172,Multiagent,13,Południe,Yes
306,Marcin Kamiński,2,Broker,1,Zachód,Yes
307,Monika Zieliński,238,Agent wyłączny,17,Zachód,Yes
308,Agnieszka Wiśniewski,148,Direct Sales,19,Wschód,Yes
309,Joanna Kamiński,118,Multiagent,3,Południe,Yes
310,Jakub Woźniak,216,Multiagent,18,Zachód,Yes
311,Adam Zieliński,315,Partner,20,Wschód,Yes
312,Marta Kamiński,63,Agent wyłączny,5,Wschód,Yes
313,Marcin Zieliński,364,Agent wyłączny,15,Centrum,Yes
314,Michał Kowalski,297,Agent wyłączny,13,Północ,Yes
315,Katarzyna Lewandowski,214,Direct Sales,4,Centrum,Yes
316,Ewa Kowalski,220,Agent wyłączny,2,Północ,Yes
317,Marcin Kowalczyk,324,Agent wyłączny,3,Zachód,Yes
318,Katarzyna Kowalski,331,Multiagent,4,Zachód,Yes
319,Ewa Kamiński,89,Multiagent,12,Wschód,Yes
320,Joanna Woźniak,363,Multiagent,20,Północ,Yes
321,Krzysztof Szymański,63,Broker,18,Wschód,Yes
322,Adam Szymański,25,Partner,5,Centrum,Yes
323,Piotr Zieliński,315,Partner,3,Centrum,Yes
324,Monika Kowalczyk,117,Multiagent,0,Zachód,Yes
325,Marta Nowak,340,Direct Sales,16,Wschód,Yes
326,Adam Wiśniewski,389,Multiagent,1,Północ,Yes
327,Jakub Woźniak,277,Agent wyłączny,9,Południe,Yes
328,Joanna Kowalczyk,281,Multiagent,18,Północ,No
329,Paweł Woźniak,144,Multiagent,18,Południe,Yes
330,Agnieszka Lewandowski,172,Agent wyłączny,8,Wschód,Yes
331,Joanna Kowalczyk,300,Multiagent,20,Zachód,Yes
332,Katarzyna Nowak,127,Agent wyłączny,2,Północ,Yes
333,Krzysztof Woźniak,412,Agent wyłączny,14,Zachód,Yes
334,Tomasz Nowak,11,Agent wyłączny,12,Zachód,Yes
335,Joanna Woźniak,322,Partner,3,Zachód,Yes
336,Joanna Wiśniewski,105,Multiagent,12,Centrum,Yes
337,Marcin Wiśniewski,114,Broker,17,Centrum,Yes
338,Jakub Kowalczyk,412,Agent wyłączny,5,Zachód,Yes
339,Paweł Kowalski,328,Broker,6,Zachód,Yes
340,Ewa Wójcik,8,Direct Sales,20,Południe,Yes
341,Jakub Nowak,201,Multiagent,17,Południe,Yes
342,Monika Kowalski,260,Multiagent,5,Południe,Yes
343,Adam Zieliński,128,Direct Sales,2,Południe,Yes
344,Anna Kowalczyk,139,Multiagent,18,Północ,Yes
345,Magdalena Kowalczyk,190,Multiagent,16,Wschód,Yes
346,Paweł Lewandowski,402,Partner,18,Południe,Yes
347,Tomasz Woźniak,36,Direct Sales,5,Północ,Yes
348,Monika Kamiński,292,Agent wyłączny,11,Centrum,Yes
349,Michał Kamiński,102,Partner,0,Wschód,Yes
350,Marta Nowak,370,Agent wyłączny,9,Południe,Yes
351,Michał Kowalczyk,383,Broker,5,Zachód,Yes
352,Piotr Zieliński,336,Multiagent,11,Wschód,Yes
353,Joanna Szymański,10,Agent wyłączny,4,Centrum,No
354,Tomasz Kamiński,154,Agent wyłączny,12,Południe,Yes
355,Anna Wiśniewski,53,Partner,18,Wschód,Yes
356,Katarzyna Woźniak,307,Broker,10,Zachód,Yes
357,Marta Kowalczyk,329,Partner,2,Północ,Yes
358,Katarzyna Nowak,399,Partner,3,Zachód,Yes
359,Tomasz Wiśniewski,372,Multiagent,7,Centrum,Yes
360,Adam Wiśniewski,240,Multiagent,8,Południe,Yes
361,Katarzyna Wiśniewski,122,Agent wyłączny,6,Wschód,Yes
362,Magdalena Kowalczyk,69,Agent wyłączny,0,Zachód,Yes
363,Monika Wójcik,285,Agent wyłączny,6,Północ,Yes
364,Agnieszka Wójcik,163,Multiagent,4,Centrum,Yes
365,Monika Szymański,281,Partner,13,Wschód,Yes
366,Agnieszka Wójcik,373,Partner,14,Zachód,Yes
367,Paweł Szymański,36,Multiagent,16,Wschód,Yes
368,Marta Nowak,138,Multiagent,10,Północ,Yes
369,Anna Wiśniewski,271,Multiagent,10,Północ,Yes
370,Jakub Kowalczyk,339,Broker,15,Południe,Yes
371,Joanna Kowalczyk,226,Partner,2,Wschód,Yes
372,Paweł Lewandowski,79,Direct Sales,6,Południe,Yes
373,Marcin Woźniak,316,Broker,17,Północ,Yes
374,Paweł Wójcik,262,Agent wyłączny,17,Południe,Yes
375,Anna Nowak,327,Multiagent,11,Centrum,Yes
376,Katarzyna Zieliński,293,Agent wyłączny,5,Zachód,Yes
377,Monika Kowalski,344,Partner,10,Zachód,Yes
378,Marta Szymański,331,Multiagent,4,Południe,Yes
379,Agnieszka Kowalczyk,329,Multiagent,17,Południe,Yes
380,Michał Szymański,314,Multiagent,0,Południe,Yes
381,Tomasz Wiśniewski,116,Direct Sales,19,Wschód,Yes
382,Katarzyna Kowalski,359,Partner,3,Zachód,Yes
383,Magdalena Wójcik,46,Broker,7,Zachód,Yes
384,Joanna Wiśniewski,93,Agent wyłączny,16,Północ,Yes
385,Marcin Kowalski,354,Multiagent,9,Centrum,Yes
386,Agnieszka Kamiński,388,Broker,12,Północ,Yes
387,Krzysztof Lewandowski,161,Agent wyłączny,11,Wschód,Yes
388,Anna Wójcik,179,Multiagent,3,Wschód,Yes
389,Michał Nowak,398,Broker,19,Północ,Yes
390,Magdalena Woźniak,342,Broker,10,Centrum,Yes
391,Katarzyna Kamiński,50,Agent wyłączny,9,Wschód,Yes
392,Marcin Wójcik,303,Agent wyłączny,16,Centrum,No
393,Marcin Lewandowski,312,Direct Sales,19,Północ,Yes
394,Jakub Nowak,159,Agent wyłączny,18,Wschód,No
395,Michał Kamiński,110,Broker,19,Wschód,No
396,Katarzyna Wiśniewski,229,Broker,11,Północ,Yes
397,Ewa Nowak,263,Agent wyłączny,15,Północ,Yes
398,Joanna Nowak,308,Multiagent,16,Południe,No
399,Joanna Woźniak,11,Multiagent,16,Zachód,Yes
400,Marcin Kamiński,103,Partner,1,Południe,Yes
401,Tomasz Zieliński,34,Broker,16,Wschód,Yes
402,Ewa Wójcik,183,Agent wyłączny,19,Centrum,Yes
403,Tomasz Wiśniewski,126,Direct Sales,15,Wschód,Yes
404,Monika Wiśniewski,295,Agent wyłączny,13,Północ,Yes
405,Jakub Kamiński,84,Multiagent,18,Północ,No
406,Marcin Kamiński,410,Multiagent,12,Północ,Yes
407,Magdalena Szymański,224,Broker,13,Południe,No
408,Monika Szymański,151,Agent wyłączny,8,Północ,Yes
409,Marcin Wójcik,272,Agent wyłączny,12,Centrum,Yes
410,Joanna Zieliński,108,Broker,0,Południe,Yes
411,Ewa Nowak,274,Multiagent,2,Zachód,Yes
412,Jakub Woźniak,249,Partner,12,Centrum,Yes
413,Marta Kowalczyk,7,Direct Sales,6,Zachód,Yes
414,Joanna Kowalski,405,Agent wyłączny,16,Centrum,Yes
415,Agnieszka Zieliński,33,Agent wyłączny,8,Wschód,Yes
416,Adam Wójcik,194,Broker,4,Centrum,Yes
417,Joanna Wiśniewski,211,Agent wyłączny,18,Północ,Yes
418,Katarzyna Nowak,88,Broker,4,Zachód,Yes
419,Katarzyna Nowak,146,Agent wyłączny,11,Północ,Yes
420,Katarzyna Nowak,383,Multiagent,16,Centrum,Yes
421,Adam Lewandowski,118,Agent wyłączny,4,Zachód,Yes
422,Piotr Szymański,175,Agent wyłączny,0,Wschód,Yes
423,Katarzyna Zieliński,205,Multiagent,16,Centrum,Yes
424,Katarzyna Kamiński,206,Partner,3,Centrum,Yes
425,Magdalena Lewandowski,149,Agent wyłączny,9,Zachód,Yes
426,Tomasz Kowalczyk,354,Broker,14,Południe,Yes
427,Agnieszka Kowalski,355,Broker,5,Centrum,Yes
428,Tomasz Woźniak,291,Partner,5,Zachód,Yes
429,Paweł Wiśniewski,100,Multiagent,12,Centrum,Yes
430,Anna Wójcik,46,Agent wyłączny,13,Północ,Yes
431,Krzysztof Kowalski,229,Multiagent,8,Południe,Yes
432,Katarzyna Kowalczyk,371,Multiagent,0,Północ,Yes
433,Katarzyna Woźniak,420,Multiagent,13,Wschód,Yes
434,Krzysztof Szymański,313,Multiagent,1,Południe,Yes
435,Adam Szymański,242,Multiagent,3,Centrum,Yes
436,Agnieszka Woźniak,369,Agent wyłączny,16,Wschód,Yes
437,Jakub Kowalski,393,Agent wyłączny,13,Centrum,Yes
438,Magdalena Zieliński,45,Multiagent,3,Północ,Yes
439,Agnieszka Nowak,112,Partner,20,Wschód,Yes
440,Piotr Woźniak,196,Multiagent,8,Południe,Yes
